用户数/10秒,寻呼用户比例,下行好点用户比例,下行中点用户比例,平均所有业务完成时延30,平均所有业务RRC建立时延,上行资源利用率（不包括预占资源）,下行资源利用率（不包括预占资源）,用户上行平均BSR(bit),用户下行平均BSR(bit),最佳方案/0旧1新
206,0.17961165,0.411538462,0.354615385,2404.950495,1207.643564,0.506262207,0.577539063,983.5339806,445.9029126,1
206,0.17961165,0.404615385,0.355384615,3352.555556,887.2469136,0.452478027,0.599316406,983.5339806,445.9029126,1
238,0.176470588,0.45,0.39,1838.277419,993.8903226,0.540059408,0.405175781,986.6218487,441.8823529,0
238,0.176470588,0.675333333,0.286,1758.04878,926.6536585,0.522591146,0.358886719,986.6218487,441.8823529,0
238,0.176470588,0.586666667,0.298666667,1799.305882,879.6235294,0.561861165,0.422949219,986.6218487,441.8823529,0
238,0.176470588,0.45,0.39,1764.8,755.1125,0.528253174,0.456347656,986.6218487,441.8823529,0
238,0.176470588,0.674,0.287333333,2369.6,1010.088889,0.533103434,0.440039063,986.6218487,441.8823529,0
238,0.176470588,0.586666667,0.299333333,1895.695906,857.5204678,0.53711141,0.469433594,986.6218487,441.8823529,0
238,0.176470588,0.624666667,0.264666667,3153.7125,1197.1875,0.425697835,0.622167969,986.6218487,441.8823529,1
238,0.176470588,0.534,0.290666667,3450.524272,1420.495146,0.398671468,0.625488281,986.6218487,441.8823529,1
238,0.176470588,0.605333333,0.256666667,2711.625,1103.916667,0.303462728,0.618652344,986.6218487,441.8823529,1
238,0.176470588,0.530666667,0.286,2503.193548,848.0483871,0.353499349,0.606738281,986.6218487,441.8823529,1
238,0.176470588,0.412666667,0.360666667,3088.060606,1460.79798,0.553076172,0.608886719,986.6218487,441.8823529,1
238,0.176470588,0.406,0.355333333,3469.952381,1084.730159,0.442102051,0.603125,986.6218487,441.8823529,1
